Operator,Resources,Time
GPU-FCBModePers,24,12.416
GPU-FCBModePers,26,12.0
GPU-FCBModePers,28,11.872
GPU-FCBModePers,30,9.792
GPU-FCBModePers,32,9.696
GPU-FCBModePers,34,9.696
GPU-FCBModePers,36,9.792
GPU-FCBModePers,38,9.632
GPU-FCBModePers,40,9.664000000000001
GPU-FCBModePers,42,9.568
GPU-FCBModePers,44,9.568
GPU-FCBModePers,46,9.6
GPU-FCBModePers,48,9.568
GPU-FCBModePers,50,9.408
GPU-FCBModePers,52,9.536
GPU-FCBModePers,54,9.632
GPU-FCBModePers,56,9.344
GPU-FCBModePers,58,9.056
GPU-FCBModePers,60,8.352
GPU-FCBModePers,62,8.288
GPU-FCBModePers,64,8.48
GPU-FCBModePers,66,7.967999999999999
GPU-FCBModePers,68,8.096
GPU-FCBModePers,70,8.319999999999999
GPU-FCBModePers,72,8.256
GPU-FCBModePers,74,8.352
GPU-FCBModePers,76,8.831999999999999
GPU-FCBModePers,78,8.384
GPU-FCBModePers,80,9.184
GPU-FCBModePers,82,8.352
GPU-FCBModePers,84,8.288
GPU-FCBModePers,86,9.056
GPU-FCBModePers,88,8.319999999999999
GPU-FCBModePers,90,8.416
GPU-FCBModePers,92,8.256
GPU-FCBModePers,94,8.256
GPU-FCBModePers,96,8.224
GPU-FCBModePers,98,8.256
GPU-FCBModePers,100,8.0
GPU-FCBModePers,102,7.967999999999999
GPU-FCBModePers,104,8.128
GPU-FCBModePers,106,8.128
GPU-FCBModePers,108,7.904
GPU-FCBModePers,110,8.064
GPU-FCBModePers,112,8.096
GPU-FCBModePers,114,8.224
GPU-FCBModePers,116,8.959999999999999
GPU-FCBModePers,118,8.161
GPU-FCBModePers,120,8.192
GPU-FCBModePers,122,8.096
GPU-FCBModePers,124,8.192
GPU-FCBModePers,126,8.256
GPU-FCBModePers,128,8.895999999999999
GPU-FCBModePers,130,7.936
GPU-FCBModePers,132,7.808
GPU-FCBModePers,134,7.808
GPU-FCBModePers,136,8.704
GPU-FCBModePers,138,7.776
GPU-FCBModePers,140,7.84
GPU-FCBModePers,142,7.744
GPU-FCPlaxCham,2,77.152
GPU-FCPlaxCham,4,42.464
GPU-FCPlaxCham,6,30.624
GPU-FCPlaxCham,8,24.352
GPU-FCPlaxCham,10,21.536
GPU-FCPlaxCham,12,19.648
GPU-FCPlaxCham,14,16.672
GPU-FCPlaxCham,16,16.416
GPU-FCPlaxCham,18,16.160999999999998
GPU-FCPlaxCham,20,14.144
GPU-FCPlaxCham,22,13.888
GPU-FCPlaxCham,24,13.792
GPU-FCPlaxCham,26,13.376000000000001
GPU-FCPlaxCham,28,11.584000000000001
GPU-FCPlaxCham,30,11.392
GPU-FCPlaxCham,32,11.424
GPU-FCPlaxCham,34,11.424
GPU-FCPlaxCham,36,11.232000000000001
GPU-FCPlaxCham,38,10.977
GPU-FCPlaxCham,40,9.248
GPU-FCPlaxCham,42,9.216000000000001
GPU-FCPlaxCham,44,9.088000000000001
GPU-FCPlaxCham,46,9.152000000000001
GPU-FCPlaxCham,48,9.056
GPU-FCPlaxCham,50,9.024000000000001
GPU-FCPlaxCham,52,8.928
GPU-FCPlaxCham,54,8.928
GPU-FCPlaxCham,56,8.895999999999999
GPU-FCPlaxCham,58,8.928
GPU-FCPlaxCham,60,9.152000000000001
GPU-FCPlaxCham,62,8.864
GPU-FCPlaxCham,64,8.864
GPU-FCPlaxCham,66,8.864
GPU-FCPlaxCham,68,8.736
GPU-FCPlaxCham,70,8.736
GPU-FCPlaxCham,72,8.704
GPU-FCPlaxCham,74,8.704
GPU-FCPlaxCham,76,8.64
GPU-FCPlaxCham,78,8.543999999999999
GPU-FCPlaxCham,80,8.192
GPU-FCPlaxCham,82,7.6160000000000005
GPU-FCPlaxCham,84,8.096
GPU-FCPlaxCham,86,7.584
GPU-FCPlaxCham,88,7.648000000000001
GPU-FCPlaxCham,90,7.552
GPU-FCPlaxCham,92,7.584
GPU-FCPlaxCham,94,7.6160000000000005
GPU-FCPlaxCham,96,7.584
GPU-FCPlaxCham,98,7.6160000000000005
GPU-FCPlaxCham,100,8.129000000000001
GPU-FCPlaxCham,102,7.4879999999999995
GPU-FCPlaxCham,104,7.4879999999999995
GPU-FCPlaxCham,106,7.552
GPU-FCPlaxCham,108,7.4559999999999995
GPU-FCPlaxCham,110,7.584
GPU-FCPlaxCham,112,7.6160000000000005
GPU-FCPlaxCham,114,7.52
GPU-FCPlaxCham,116,7.904
GPU-FCPlaxCham,118,7.52
GPU-FCPlaxCham,120,8.0
GPU-FCPlaxCham,122,7.52
GPU-FCPlaxCham,124,7.52
GPU-FCPlaxCham,126,7.967999999999999
GPU-FCPlaxCham,128,8.128
GPU-FCPlaxCham,130,7.296
GPU-FCPlaxCham,132,7.36
GPU-FCPlaxCham,134,7.967999999999999
GPU-FCPlaxCham,136,7.936
GPU-FCPlaxCham,138,7.872000000000001
GPU-FCPlaxCham,140,8.128
GPU-FCPlaxCham,142,7.936
GPU-PostProcessor,2,102.753
GPU-PostProcessor,4,62.336000000000006
GPU-PostProcessor,6,47.199999999999996
GPU-PostProcessor,8,41.855999999999995
GPU-PostProcessor,10,33.984
GPU-PostProcessor,12,34.784
GPU-PostProcessor,14,31.616
GPU-PostProcessor,16,32.512
GPU-PostProcessor,18,29.984
GPU-PostProcessor,20,30.976
GPU-PostProcessor,22,31.52
GPU-PostProcessor,24,31.744
GPU-PostProcessor,26,29.6
GPU-PostProcessor,28,28.672
GPU-PostProcessor,30,28.0
GPU-PostProcessor,32,27.744999999999997
GPU-PostProcessor,34,27.808
GPU-PostProcessor,36,27.68
GPU-PostProcessor,38,27.424
GPU-PostProcessor,40,27.008
GPU-PostProcessor,42,27.424
GPU-PostProcessor,44,27.232
GPU-PostProcessor,46,27.296
GPU-PostProcessor,48,27.264
GPU-PostProcessor,50,24.992
GPU-PostProcessor,52,24.767999999999997
GPU-PostProcessor,54,24.767999999999997
GPU-PostProcessor,56,24.256
GPU-PostProcessor,58,24.032
GPU-PostProcessor,60,23.936
GPU-PostProcessor,62,23.712
GPU-PostProcessor,64,23.552
GPU-PostProcessor,66,23.712
GPU-PostProcessor,68,23.361
GPU-PostProcessor,70,23.456
GPU-PostProcessor,72,23.488
GPU-PostProcessor,74,23.52
GPU-PostProcessor,76,23.168999999999997
GPU-PostProcessor,78,23.232
GPU-PostProcessor,80,25.28
GPU-PostProcessor,82,23.232
GPU-PostProcessor,84,23.232
GPU-PostProcessor,86,23.392
GPU-PostProcessor,88,23.072
GPU-PostProcessor,90,23.072
GPU-PostProcessor,92,23.104
GPU-PostProcessor,94,23.489
GPU-PostProcessor,96,23.072
GPU-PostProcessor,98,22.912
GPU-PostProcessor,100,22.976
GPU-PostProcessor,102,22.977
GPU-PostProcessor,104,22.848
GPU-PostProcessor,106,23.008
GPU-PostProcessor,108,22.912
GPU-PostProcessor,110,22.848
GPU-PostProcessor,112,22.912
GPU-PostProcessor,114,22.784
GPU-PostProcessor,116,22.784
GPU-PostProcessor,118,22.816
GPU-PostProcessor,120,22.817
GPU-PostProcessor,122,23.072
GPU-PostProcessor,124,22.816
GPU-PostProcessor,126,24.832
GPU-PostProcessor,128,24.639999999999997
GPU-PostProcessor,130,22.688
GPU-PostProcessor,132,22.689
GPU-PostProcessor,134,22.752000000000002
GPU-PostProcessor,136,22.784
GPU-PostProcessor,138,22.752000000000002
GPU-PostProcessor,140,23.008
GPU-PostProcessor,142,22.752000000000002

